FID,STATION,STATUS,TYPE,LINE,ObjectId,x,y
1,Expo Center,Existing,MAX,Y,1,-122.685564865652,45.6054499672545
2,Kenton/N Denver Ave,Existing,MAX,Y,2,-122.685906572824,45.583851014211
3,N Lombard TC,Existing,MAX,Y,3,-122.682088735061,45.5771091819986
4,Rosa Parks,Existing,MAX,Y,4,-122.682141977333,45.5698916607834
5,Overlook Park,Existing,MAX,Y,5,-122.680996969305,45.5486779276251
6,Interstate/Rose Quarter,Existing,MAX,Y,6,-122.667837214136,45.5301865436347
7,Albina/Mississippi,Existing,MAX,Y,7,-122.6755085281,45.539560260471
8,N Prescott St,Existing,MAX,Y,8,-122.682292766074,45.5551829696024
9,N Killingsworth St,Existing,MAX,Y,9,-122.682224497017,45.5626581215628
10,Delta Park/Vanport,Existing,MAX,Y,10,-122.685630030823,45.596132989046
11,JELD-WEN Field,Existing,MAX,BR,11,-122.689795162268,45.5217980139165
12,JELD-WEN Field,Existing,MAX,BR,12,-122.689848446011,45.5213523685728
13,Kings Hill/SW Salmon St,Existing,MAX,BR,13,-122.691150053395,45.5204089971907
14,Beaverton Creek,Existing,MAX,B,14,-122.833082055039,45.5004342475414
15,Beaverton TC,Existing,MAX,BR,15,-122.801501608707,45.4914411748101
16,Beaverton Central,Existing,MAX,B,16,-122.807101256487,45.4904721500034
17,Millikan Way,Existing,MAX,B,17,-122.821531662371,45.495263712342
18,Merlo Rd/SW 158th Ave,Existing,MAX,B,18,-122.842162388413,45.5052405633122
19,Elmonica/SW 170th Ave,Existing,MAX,B,19,-122.851463410233,45.5099626901384
20,Willow Creek/SW 185th Ave TC,Existing,MAX,B,20,-122.87021024306,45.5172519532304
21,Quatama/NW 205th Ave,Existing,MAX,B,21,-122.888799406441,45.5231934281064
22,Orenco/NW 231st Ave,Existing,MAX,B,22,-122.915831895945,45.5302862341317
23,Fairplex/Hillsboro Airport,Existing,MAX,B,23,-122.946142747202,45.526984905474
24,Hawthorn Farm,Existing,MAX,B,24,-122.930739258011,45.5299744469209
25,Washington/SE 12th Ave,Existing,MAX,B,25,-122.969544232131,45.5211772221779
26,Tuality Hospital/SE 8th Ave,Existing,MAX,B,26,-122.978361741159,45.5213007334598
27,Hillsboro Central/SE 3rd TC,Existing,MAX,B,27,-122.985289387579,45.521379246523
28,Hatfield Government Center,Existing,MAX,B,28,-122.991020703426,45.5221889561826
29,Old Town/Chinatown,Existing,MAX,BR,29,-122.67140716706,45.524933228979
30,Cascades,Existing,MAX,R,30,-122.558011191683,45.5722388022098
31,Goose Hollow/SW Jefferson St,Existing,MAX,BR,31,-122.693830203517,45.5181142631567
32,Washington Park,Existing,MAX,BR,32,-122.716907474201,45.5106442659171
33,Library/SW 9th Ave,Existing,MAX,BR,33,-122.681936205488,45.5192192729111
34,Pioneer Square South,Existing,MAX,BR,34,-122.679427549111,45.5185507059184
35,Mall/SW 4th Ave,Existing,MAX,BR,35,-122.677412830856,45.5180115790587
36,Yamhill District,Existing,MAX,BR,36,-122.674358259437,45.5171501150925
37,Skidmore Fountain,Existing,MAX,BR,37,-122.67132839152,45.5231217449522
38,Convention Center,Existing,MAX,BGR,38,-122.662202898679,45.5300904683535
39,NE 7th Ave,Existing,MAX,BGR,39,-122.658059049457,45.530093971021
40,Lloyd Center/NE 11th Ave,Existing,MAX,BGR,40,-122.654029692882,45.5300849063418
41,Hollywood/NE 42nd Ave TC,Existing,MAX,BGR,41,-122.621010444824,45.5328572135423
42,NE 82nd Ave,Existing,MAX,BGR,42,-122.578088219763,45.5333389216033
43,E 148th Ave,Existing,MAX,B,43,-122.510651437908,45.5222963090367
44,E 162nd Ave,Existing,MAX,B,44,-122.496432463365,45.5221734503987
45,E 181st Ave,Existing,MAX,B,45,-122.477110833826,45.5220124275022
46,Rockwood/E 188th Ave,Existing,MAX,B,46,-122.470758710053,45.5205382920474
47,Ruby Junction/E 197th Ave,Existing,MAX,B,47,-122.46034623594,45.5161294953625
48,Gresham City Hall,Existing,MAX,B,48,-122.43606311044,45.5058324882999
49,Gresham Central TC,Existing,MAX,B,49,-122.426976737924,45.5025875283276
50,Cleveland Ave,Existing,MAX,B,50,-122.418494923184,45.5017693396511
51,E 172nd Ave,Existing,MAX,B,51,-122.486104311409,45.5220898068923
52,E 122nd Ave,Existing,MAX,B,52,-122.537746298366,45.5224943140814
53,E 102nd Ave,Existing,MAX,B,53,-122.558274317877,45.5226407092944
54,Gateway/NE 99th Ave TC,Existing,MAX,BGR,54,-122.563652599802,45.5306609787676
55,NE 60th Ave,Existing,MAX,BGR,55,-122.603019823613,45.5286275841905
56,Rose Quarter TC,Existing,MAX,BGR,56,-122.665572280215,45.5301627192783
57,Oak/ SW 1st Ave,Existing,MAX,BR,57,-122.672332911254,45.5200833803045
58,Morrison/SW 3rd Ave,Existing,MAX,BR,58,-122.675056924383,45.5181082365998
59,Mall/SW 5th Ave,Existing,MAX,BR,59,-122.677059154087,45.51864361607
